トピック,対象ファイル,A_ID,A概要,A影響度,Aリスク,A工数,B_ID,B概要,B影響度,Bリスク,B工数,内容の違い・所感,優位
"schema.py の分割","config/schema.py (1641行)","R1","Settings クラス単位でパッケージ分割。sources基盤を別出し、__init__で再エクスポート","高","中","L","C1","schema/ パッケージ化。8ファイルへの分割表を明示、M2と連続実施を推奨","高","低","M","結論は同じ（パッケージ化+再エクスポート）。Bは分割後ファイル名と移動クラスの対応表まで提示し即着手可能。Aはリスクを中、Bは低と評価（再エクスポートで互換維持できる点でBの低が妥当）","B（具体性・実行可能性）"
"manager.py の整理","config/manager.py (887行)","R2","loader重複統合。汎用ヘルパー集約+トレース系を別mixin/ファイルへ分離も提案","中","中","M","C2","get_*_settings フォールバック共通化。_get_settings_with_fallback 1メソッドに集約、887→500行の数値目標","中","低","S","ほぼ同一の着眼（フォールバック手順の重複）。Bは行番号(559-623)と削減見込みを数値化、工数Sと軽め。Aは分割まで視野に入れ工数M。Bの方が手堅くクイックウィン寄り、Aは踏み込みが大きい","B（精度）/ A（射程）"
"views.py の表示分離","config/views.py (819行)","R3","データ収集層とレンダラ層(Table/Json/Hierarchical)に分離。マスキングは純関数util化。テスト薄く補強推奨","中","低","M","C3","中間表現(dict)を1つに定め階層ウォークを1本化。format_hierarchical_json がほぼ消える点を具体指摘","中","低","M","同じ分離方針。Bは「format_hierarchical と _json が同じ木構造を二度歩く(478-557/559-651)」という具体的DRY違反を特定。Aは表示形式ごとのメソッド増殖を一般論で指摘。Bの根本原因特定が鋭い","B（根本原因の特定）"
"TomlSource の共通基底抽出","config/sources/*toml_source.py","R4","8つの*TomlSourceが各々定型再実装。BaseTomlSource新設しfield_mapperを全ソースの正規化窓口に統一","中","中","M","—","（B: sources/は既に適切な粒度、field_mapperで一元化済み、触らないと明言）","-","-","-","【重要な相違】コード検証の結果、8ソースが各々 get_field_value/prepare_field_value/__call__/_load を再実装、field_mapper利用は3ソースのみ。Aの指摘は実在する重複。Bは『触らなくてよい』と誤判定（ファイルサイズは小さいがクロスファイル重複を見落とし）","A（Bが見落とした実在の重複を捕捉）"
"aggregation_store の重複解消","storage/aggregation_store.py (907行)","R5","sync/async約10対をデコレータ(@async_db_read/@async_db_write)化+責務でパッケージ分割。DDL/読/書/集計を分離","高","中","L","S1","sync/async定型を _run_write/_run_read ヘルパーに集約。リトライ不統一(saveだけ指数バックオフ)を設計判断として一元化","中","低","M","Aはデコレータ、Bはヘルパーメソッド方式（どちらも妥当）。Bは『save_aggregationだけリトライ有り、他はなし』という不整合を発見しエラー処理の一貫性問題として提起。Aは見落とし。Bはテスト手薄(12)→先にリトライ挙動テスト追加を強く推奨し安全網意識が高い","B（不整合の発見・安全網意識）"
"aggregation_store の責務分割","storage/aggregation_store.py (907行)","R5","（R5後半）テーブル別mixin/協調オブジェクトへ分離","高","中","L(に内包)","S2","テーブル別リポジトリ化。base.py抽出。UI側が独自にDuckDB接続する論点まで指摘しスコープ膨張を警告","中","中","M","Aは1候補(R5)に統合、BはS1(重複解消)とS2(分割)を段階分離。Bは『UI読み出しも storage 経由に寄せるか』という設計論点とスコープ管理まで言及。段階分割の方が着手判断しやすい","B（段階分割・スコープ管理）"
"新旧二重設定モデルの統合","models/evaluation_config.py ↔ schema.py","R6","新旧2型階層の二重管理を統合。フィールド対応表→SSOT決定→ブリッジ縮小→段階移行。最高リスク最後着手","高","高","L","M1","旧Config群の廃止。Evaluator/Team/MemberAgentの3系統マップを提示し系統別PRで段階実施。875行削除可","高","中","L","最重要課題という認識は一致。Bは『移行完了とコメントされながら旧モデルが残存』『timeout制約が新旧で乖離(ge=10,le=600 vs ge=0)』など具体的証拠を提示し、3系統を分けて段階PR化。Aは方向性は正しいが抽象的。Bの分析が圧倒的に具体的","B（証拠と段階設計）"
"LLMパラメータ共通基底","schema.py ほか約9クラス","—","（R6内でフィールド二重管理として言及するのみ、独立候補なし）","-","-","-","M2","LLM10項目が9クラスにコピー。LLMParamsMixin導入。制約乖離の根本原因と特定、M1の前提整備も兼ねる","高","低","M","【Bの独自貢献】Bは制約乖離(timeout)の『根本原因』がパラメータ定義のコピーだと特定し、Mixin化という再利用設計を提案。AはR6で症状(二重管理)に触れるが原因の構造的解決策を出していない。影響度高・リスク低の good first の構造改善","B（根本原因への構造的解法・A欠落）"
"get_*_for_metric の統合","models/evaluation_config.py","—","（言及なし）","-","-","-","M3","get_*_for_metric 10メソッド計240行が同一2行ロジック。_resolve_for_metric 1本に集約し240→60行","中","低","S","【Bの独自貢献】Aは完全に見落とし。Bは具体的な機械的重複を特定しクイックウィン化（リスク低・工数S）。ただしM1完了時に消えるため先行実施は任意とB自身も注記しており実利は限定的","B（A欠落、ただし実利限定）"
"execution_service の分割","ui/services/execution_service.py (772行)","R7","進捗読取/runner/status の3ファイルへ分割。長大関数を200行以内に。os.getenv置換","中","中","L","U1","progress/runner/結果読出の3分割。正常系/異常系の二重構築解消、進捗ファイルschema共有を退行リスク源と明示","中","中","M","分割単位はほぼ同一。Bは『進捗ファイルのdictキーが書き手(controller)と読み手で暗黙結合』を最大の退行リスクと特定しE2と連携。AはR14/R15連携に言及。Bのリスク源の言語化が的確（工数もA:L,B:Mと差）","B（退行リスクの特定）"
