トピック,対象,B_ID,B概要,B影響度,Bリスク,B工数,C_ID,C概要,C影響度,Cリスク,C工数,違い・所感,優位
"schema.py の分割","config/schema.py (1641行)","C1","schema/ パッケージ化。8ファイルへの分割表を提示、再エクスポートで互換","高","低","M","01-候補1 / 順28","schema/分割に加え LLMParameterMixin 抽出(約400行削減)を同一候補に統合。env ソース実装の sources/ 移動も明記","高","中","L","結論は同方向。Cは『LLM9フィールド×5クラスの重複(行番号付き)』を schema分割と一体で解決し削減量を定量化。Bは分割(C1)とMixin(M2)を別候補に分離。Cの統合提示が実装単位として自然","C(統合度・定量化)"
"LLMパラメータ共通基底","schema.py ほか","M2","LLMParamsMixin導入。制約乖離(timeout)の根本原因と特定、約9クラスに適用","高","低","M","順28/29, 08-候補3, 09-候補3 (※5/※6統合)","同一Mixinを config/models/agents の3サブシステムで共有する形に統合。evaluatorでは LLMCallParams(frozen)としてオブジェクト化も提案","高","中","M〜L","両者とも根本原因(コピー)を特定し Mixin化を提案。Cは3サブシステムにまたがる重複を横断的に集約(※5注記)し、さらに tramp data 解消(パラメータオブジェクト)まで踏み込む。Bは config 内に閉じた提案。射程はC","C(横断統合)"
"manager フォールバック共通化","config/manager.py (887行)","C2","_get_settings_with_fallback 1メソッドに集約、887→500行目標","中","低","S","01-候補2","宣言的レジストリ(settings/source/default のタプル)化。print_debug_info を views へ移し manager↔views 循環も解消","中","低","M","ほぼ同一。Cは循環参照解消(候補6)と連動させ print 直書きの移設まで含める。Bは重複排除に集中し工数Sと軽い。着眼は同等、Cは周辺整理込み","引き分け〜C"
"views 収集/整形分離","config/views.py (819行)","C3","中間表現を1つに定め階層ウォーク1本化、format_hierarchical_json がほぼ消える","中","低","M","01-候補4","collector/formatters/masking の3分割。_get_type_string が views/template に二重実装(行番号付き)も統合、例外握り潰しにdebugログ","中","低","M","Bは『同じ木構造を二度歩く』重複を的確に指摘。Cはそれに加え template.py との _get_type_string 重複・例外握り潰し(views.py:123)まで列挙。粒度はC、核心の指摘はB同等","引き分け"
"TomlSource 基底クラス","config/sources/*","—","(B: sources/は適切な粒度、触らないと明言)","-","-","-","01-候補3","6ファイルのボイラープレート重複(約400行)。BaseTomlFileSource + Template Method の _convert() のみ差分実装","中","低","M","【重要】コード検証で8ソースが定型を各々再実装と確認済(a-vs-b と同一結論)。Bは『触らない』と誤判定、CはAと同様に実在重複を正しく候補化。Cが B の盲点を補正","C(Bの見落としを補正)"
"循環参照の解消","config/manager,schema / utils.env","—","(独立候補なし)","-","-","-","01-候補6 / 順2","schema↔manager↔views と config↔utils.env の3循環を contextvars 専用モジュール化で解消。大型分割の前提整備","中","低","S","【C独自】Cは遅延import十数箇所を循環の兆候として構造的に特定し、分割の前提として最優先(順2)に配置。Bは循環に言及なし。設計健全性の観点でCが深い","C(B欠落)"
"評価設定 新旧統合","models/evaluation_config.py ↔ schema","M1","旧Config群廃止。3系統マップ提示、系統別PR。timeout制約乖離を証拠提示","高","中","L","08-候補1 / 順30","Evaluator内部をEvaluatorSettings直結に。from_toml_file()のsrc内呼び出しゼロ(テストのみ)→役割終了と特定","高","中","L","最重要という認識は一致。Bは3系統(Evaluator/Team/Member)を網羅しPR分割を体系化。Cは『from_toml_file呼び出しがsrc内ゼロ』『models→configの逆依存』を具体特定。BはTeam/Member系も含む網羅性、Cは逆依存という設計負債の指摘。互角〜Bがやや網羅的","引き分け(B網羅/C設計)"
"get_*_for_metric統合","models/evaluation_config.py","M3","10メソッド→_resolve_for_metric 1本、240→60行","中","低","S","08-候補2 / 02-候補1 (※6)","11メソッドと数える。resolve_llm_settings→frozen ResolvedMetricSettings に集約、model_dump(exclude_none)で汎用化","中","低","S","同一の重複を特定。Bは『10メソッド』、Cは『11メソッド』(google_model_settings含む数え方の差、Cが正確)。Cはオブジェクト化(LLMCallParams)と統合しtramp data解消まで設計。Cがやや精密","C(精密・設計拡張)"
"LLM呼び出しのtramp data解消","evaluator.py/base.py/llm_client.py","—","(独立候補なし)","-","-","-","02-候補1","11ゲッター→17引数→13引数の3層バケツリレーを LLMCallParams(frozen)で解消。パラメータ追加で4ファイル波及を解消","高","中","M","【C独自】Cは引数の3層バケツリレーという具体的なコードの臭いを特定し、パラメータオブジェクトで解決。Bはget_*統合(M3)止まりで呼び出し側の引数地獄は未言及。Cが深い","C(B欠落)"
"evaluator.py 分割","evaluator/evaluator.py (531行)","E3","カスタムメトリクスローダーを metric_loader.py へ分離。同種ローダー3箇所も指摘","中","低","M","02-候補2","metric_registry.py 抽出 + __main__ブロック(59行)削除 + デッドコード(_metrics_dir未使用等)除去で200行弱に","高","低","M","Bはローダー分離を主軸に他2箇所の動的ロードとの共通化余地も指摘。Cは__main__重複・_metrics_dir未使用・冗長hasattrチェックなどデッドコードを具体列挙し削減後行数も明示。Cの中身分析が一段深い","C(デッドコード特定)"
"metrics base LSP違反/分割","evaluator/metrics/base.py (305行)","—","(300行一覧で言及のみ)","-","-","-","02-候補3","base.py:198の type:ignore[override] でシグネチャ非互換、それ起因の evaluator.py:175 isinstance分岐。共通シグネチャ化+分割","中","中","M","【C独自・検証済】198行のtype:ignore[override]を実コードで確認。CはLSP違反と分岐ディスパッチの因果まで特定。Bは300行超の事実のみ。型の一貫性観点でCが明確に優位","C(B欠落・検証済)"
